key,name,description,attached to,layer,type,kind,url
humanities,Humanities,,,0,,group,https://en.wikipedia.org/wiki/Humanities
humanities.performing-arts.theatre.playwrighting,Playwrighting,,Theatre|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Playwrighting
humanities.performing-arts.theatre.puppetry,Puppetry,,Theatre|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Puppetry
humanities.performing-arts.theatre.scenography,Scenography,,Theatre|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Scenography
humanities.performing-arts.theatre.stage-design,Stage design,,Theatre|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Scenic_design
humanities.performing-arts.theatre.ventriloquism,Ventriloquism,,Theatre|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Ventriloquism
humanities.performing-arts.film,Film,,Performing arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Film_studies
humanities.performing-arts.film.animation,Animation,,key:humanities.performing-arts.film|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Animation
humanities.performing-arts.film.film-criticism,Film criticism,,key:humanities.performing-arts.film|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Film_criticism
humanities.performing-arts.film.filmmaking,Filmmaking,,key:humanities.performing-arts.film|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Filmmaking
humanities.performing-arts.film.film-theory,Film theory,,key:humanities.performing-arts.film|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Film_theory
humanities.performing-arts.film.film-studies,Film studies,,key:humanities.performing-arts.film|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Film_studies
humanities.performing-arts.film.live-action,Live action,,key:humanities.performing-arts.film|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Live_action
humanities.performing-arts.oral-literature,Oral literature,,Performing arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Oral_literature
humanities.performing-arts.oral-literature.public-speaking,Public speaking,,Oral literature|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Public_speaking
humanities.performing-arts.oral-literature.performance-poetry,Performance poetry,,Oral literature|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Performance_poetry
humanities.performing-arts.oral-literature.spoken-word,Spoken word,,Oral literature|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Spoken_word
