key,name,description,attached to,layer,type,url
humanities,Humanities,,,0,,https://en.wikipedia.org/wiki/Humanities
humanities.music,Music,,,1,S0,https://en.wikipedia.org/wiki/Music
humanities.music.accompanying,Accompanying,,Music|0,2,S,https://en.wikipedia.org/wiki/Accompaniment
humanities.music.chamber-music,Chamber music,,Music|0,2,S,https://en.wikipedia.org/wiki/Chamber_music
humanities.music.church-music,Church music,,Music|0,2,S,https://en.wikipedia.org/wiki/Church_music
humanities.music.conducting,Conducting,,Music|0,2,S,https://en.wikipedia.org/wiki/Conducting
humanities.music.conducting.choral-conducting,Choral conducting,,Conducting|0,3,S,https://en.wikipedia.org/wiki/Choir
humanities.music.conducting.orchestral-conducting,Orchestral conducting,,Conducting|0,3,S,https://en.wikipedia.org/wiki/Orchestra
humanities.music.conducting.wind-ensemble-conducting,Wind ensemble conducting,,Conducting|0,3,S,https://en.wikipedia.org/wiki/Concert_band
humanities.music.early-music,Early music,,Music|0,2,S,https://en.wikipedia.org/wiki/Early_music
humanities.music.jazz-studies,Jazz studies,,Music|0,2,S,https://en.wikipedia.org/wiki/Jazz
humanities.music.musical-composition,Musical composition,,Music|0,2,S,https://en.wikipedia.org/wiki/Musical_composition
humanities.music.music-education,Music education,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_education
humanities.music.music-genre,Music genre,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_genre
humanities.music.music-history,Music history,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_history
humanities.music.musicology,Musicology,,Music|0,2,S,https://en.wikipedia.org/wiki/Musicology
humanities.music.musicology.historical-musicology,Historical musicology,,Musicology|0,3,S,https://en.wikipedia.org/wiki/Music_history
humanities.music.musicology.systematic-musicology,Systematic musicology,,Musicology|0,3,S,https://en.wikipedia.org/wiki/Systematic_musicology
humanities.music.musicology.ethnomusicology,Ethnomusicology,,Musicology|0,3,S,https://en.wikipedia.org/wiki/Ethnomusicology
humanities.music.music-theory,Music theory,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_theory
humanities.music.orchestral-studies,Orchestral studies,,Music|0,2,S,https://en.wikipedia.org/wiki/Orchestra
humanities.music.organology,Organology,,Music|0,2,S,https://en.wikipedia.org/wiki/Organology
humanities.music.organology.organ-and-historical-keyboards,Organ and historical keyboards,,Organology|0,3,S,https://en.wikipedia.org/wiki/Organ_(music)
humanities.music.organology.piano,Piano,,Organology|0,3,S,https://en.wikipedia.org/wiki/Piano
humanities.music.organology.strings-harp-oud-and-guitar,"Strings, harp, oud, and guitar",,Organology|0,3,S,https://en.wikipedia.org/wiki/String_instrument
humanities.music.organology.singing,Singing,,Organology|0,3,S,https://en.wikipedia.org/wiki/Singing
humanities.music.organology.woodwinds-brass-and-percussion,"Woodwinds, brass, and percussion",,Organology|0,3,S,https://en.wikipedia.org/wiki/Woodwind_instrument
humanities.music.recording,Recording,,Music|0,2,S,https://en.wikipedia.org/wiki/Sound_recording_and_reproduction
humanities.performing-arts,Performing arts,,,1,S0,https://en.wikipedia.org/wiki/Outline_of_performing_arts
humanities.performing-arts.dance,Dance,,Performing arts|0,2,P,https://en.wikipedia.org/wiki/Dance
humanities.performing-arts.dance.choreography,Choreography,,Dance|0,3,S,https://en.wikipedia.org/wiki/Choreography
humanities.performing-arts.dance.dance-notation,Dance notation,,Dance|0,3,S,https://en.wikipedia.org/wiki/Dance_notation
humanities.performing-arts.dance.ethnochoreology,Ethnochoreology,,Dance|0,3,S,https://en.wikipedia.org/wiki/Ethnochoreology
humanities.performing-arts.dance.history-of-dance,History of dance,,Dance|0,3,S,https://en.wikipedia.org/wiki/History_of_dance
humanities.performing-arts.television,Television,,Performing arts|0,2,S,https://en.wikipedia.org/wiki/Television
humanities.performing-arts.television.television-studies,Television studies,,key:humanities.performing-arts.television|0,3,S,https://en.wikipedia.org/wiki/Television_studies
humanities.performing-arts.theatre,Theatre,,Performing arts|0,2,S,https://en.wikipedia.org/wiki/Theatre
humanities.performing-arts.theatre.acting,Acting,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Acting
humanities.performing-arts.theatre.directing,Directing,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Theatre_director
humanities.performing-arts.theatre.dramaturgy,Dramaturgy,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Dramaturgy
humanities.performing-arts.theatre.history-of-theatre,History of theatre,,Theatre|0,3,S,https://en.wikipedia.org/wiki/History_of_theater
humanities.performing-arts.theatre.musical-theatre,Musical theatre,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Musical_theatre
humanities.performing-arts.theatre.playwrighting,Playwrighting,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Playwrighting
humanities.performing-arts.theatre.puppetry,Puppetry,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Puppetry
humanities.performing-arts.theatre.scenography,Scenography,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Scenography
humanities.performing-arts.theatre.stage-design,Stage design,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Scenic_design
humanities.performing-arts.theatre.ventriloquism,Ventriloquism,,Theatre|0,3,S,https://en.wikipedia.org/wiki/Ventriloquism
humanities.performing-arts.film,Film (studies),,Performing arts|0,2,S,https://en.wikipedia.org/wiki/Film_studies
humanities.performing-arts.film.film-criticism,Film criticism,,key:humanities.performing-arts.film|0,3,S,https://en.wikipedia.org/wiki/Film_criticism
humanities.performing-arts.film.filmmaking,Filmmaking,,key:humanities.performing-arts.film|0,3,S,https://en.wikipedia.org/wiki/Filmmaking
humanities.performing-arts.film.film-theory,Film theory,,key:humanities.performing-arts.film|0,3,S,https://en.wikipedia.org/wiki/Film_theory
humanities.performing-arts.film.film-studies,Film studies,,key:humanities.performing-arts.film|0,3,S,https://en.wikipedia.org/wiki/Film_studies
humanities.performing-arts.film.live-action,Live action,,key:humanities.performing-arts.film|0,3,S,https://en.wikipedia.org/wiki/Live_action
humanities.performing-arts.oral-literature,Oral literature,,Performing arts|0,2,S,https://en.wikipedia.org/wiki/Oral_literature
humanities.performing-arts.oral-literature.public-speaking,Public speaking,,Oral literature|0,3,S,https://en.wikipedia.org/wiki/Public_speaking
humanities.performing-arts.oral-literature.performance-poetry,Performance poetry,,Oral literature|0,3,S,https://en.wikipedia.org/wiki/Performance_poetry
humanities.performing-arts.oral-literature.spoken-word,Spoken word,,Oral literature|0,3,S,https://en.wikipedia.org/wiki/Spoken_word
humanities.performing-arts.oral-literature.storytelling,Storytelling,,Oral literature|0,3,S,https://en.wikipedia.org/wiki/Storytelling
humanities.performing-arts.electronic-game,Electronic game,,Performing arts|0,2,S,https://en.wikipedia.org/wiki/Electronic_game
humanities.performing-arts.electronic-game.arcade-game,Arcade game,,Electronic game|0,3,S,https://en.wikipedia.org/wiki/Arcade_game
humanities.performing-arts.electronic-game.audio-game,Audio game,,Electronic game|0,3,S,https://en.wikipedia.org/wiki/Audio_game
humanities.performing-arts.electronic-game.video-games,video games,,Electronic game|0,3,S,https://en.wikipedia.org/wiki/Video_game
humanities.visual-arts,Visual arts,,,1,S0,https://en.wikipedia.org/wiki/Outline_of_the_visual_arts
humanities.visual-arts.animation,Animation,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Animation
humanities.visual-arts.applied-arts,Applied arts,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Applied_arts
humanities.visual-arts.architecture,Architecture,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Architecture
humanities.visual-arts.architecture.interior-architecture,Interior architecture,,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Interior_architecture
humanities.visual-arts.architecture.landscape-architecture,Landscape architecture,,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Landscape_architecture
humanities.visual-arts.architecture.landscape-architecture.landscape-planning,Landscape planning,,key:humanities.visual-arts.architecture.landscape-architecture|0,4,S,https://en.wikipedia.org/wiki/Landscape_planning
humanities.visual-arts.architecture.architectural-analytics,Architectural analytics,,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Architectural_analytics
humanities.visual-arts.architecture.historic-preservation,Historic preservation,,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Historic_preservation
humanities.visual-arts.architecture.interior-design-interior-architecture,Interior design (interior architecture),,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Interior_design
humanities.visual-arts.architecture.technical-drawing,Technical drawing,,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Technical_drawing
humanities.visual-arts.art-director,Art director,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Art_director
humanities.visual-arts.calligraphy,Calligraphy,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Calligraphy
humanities.visual-arts.craft,Craft,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Craft
humanities.visual-arts.fashion,Fashion,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Fashion
humanities.visual-arts.fine-arts,Fine arts,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Fine_arts
humanities.visual-arts.fine-arts.graphic-arts,Graphic arts,,Fine arts|0,3,S,https://en.wikipedia.org/wiki/Graphic_arts
humanities.visual-arts.fine-arts.graphic-arts.drawing,Drawing,,Graphic arts|0,4,S,https://en.wikipedia.org/wiki/Drawing
humanities.visual-arts.fine-arts.graphic-arts.painting,Painting,,Graphic arts|0,4,S,https://en.wikipedia.org/wiki/Painting
humanities.visual-arts.fine-arts.graphic-arts.photography,Photography,,Graphic arts|0,4,S,https://en.wikipedia.org/wiki/Photography
humanities.visual-arts.fine-arts.sculpture,Sculpture,,Fine arts|0,3,S,https://en.wikipedia.org/wiki/Sculpture
humanities.visual-arts.textile-arts,Textile arts,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Textile_arts
humanities.visual-arts.mixed-media,Mixed media,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Mixed_media
humanities.visual-arts.printmaking,Printmaking,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Printmaking
humanities.visual-arts.studio-art,Studio art,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Studio_art
humanities.visual-arts.culinary-arts,Culinary Arts,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Culinary_Arts
humanities.visual-arts.culinary-arts.acquired-taste,Acquired taste,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Acquired_taste
humanities.visual-arts.culinary-arts.aftertaste,Aftertaste,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Aftertaste
humanities.visual-arts.culinary-arts.appetite,Appetite,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Appetite
humanities.visual-arts.culinary-arts.artisanal-food,Artisanal food,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Artisanal_food
humanities.visual-arts.culinary-arts.cooking,Cooking,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Cooking
humanities.visual-arts.culinary-arts.cuisine,Cuisine,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Cuisine
humanities.visual-arts.culinary-arts.culinary-tourism,Culinary tourism,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Culinary_tourism
humanities.visual-arts.culinary-arts.delicacy,Delicacy,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Delicacy
humanities.visual-arts.culinary-arts.diet,Diet,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Diet_(nutrition)
humanities.visual-arts.culinary-arts.flavor,Flavor,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Flavor_(taste)
humanities.visual-arts.culinary-arts.food-choice,Food choice,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_choice
humanities.visual-arts.culinary-arts.food-pairing,Food pairing,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_pairing
humanities.visual-arts.culinary-arts.food-photography,Food photography,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_photography
humanities.visual-arts.culinary-arts.food-preparation,Food preparation,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Outline_of_food_preparation
humanities.visual-arts.culinary-arts.food-presentation,Food presentation,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_presentation
humanities.visual-arts.culinary-arts.food-safety,Food safety,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_safety
humanities.visual-arts.culinary-arts.food-security,Food security,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_security
humanities.visual-arts.culinary-arts.food-studies,Food studies,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_studies
humanities.visual-arts.culinary-arts.gastronomy,Gastronomy,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Gastronomy
humanities.visual-arts.culinary-arts.gourmet,Gourmet,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Gourmet
humanities.visual-arts.culinary-arts.palatability,Palatability,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Palatability
humanities.visual-arts.culinary-arts.specialty-foods,Specialty foods,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Specialty_foods
humanities.visual-arts.culinary-arts.traditional-food,Traditional food,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Traditional_food
humanities.visual-arts.culinary-arts.cuisines,cuisines,,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Outline_of_cuisines
humanities.visual-arts.decorative-arts,Decorative arts,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Decorative_arts
humanities.visual-arts.digital-art,Digital art,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Digital_art
humanities.visual-arts.architecture-and-design,Architecture and design,,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Architecture
humanities.visual-arts.architecture-and-design.landscape-architecture-landscape-planning,Landscape architecture (landscape planning),,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Landscape_architecture
humanities.visual-arts.architecture-and-design.landscape-design,Landscape design,,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Landscape_design
humanities.visual-arts.architecture-and-design.urban-planning-urban-design,Urban planning (urban design),,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Urban_planning
humanities.visual-arts.architecture-and-design.visual-communication,Visual communication,,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Visual_communication
humanities.visual-arts.architecture-and-design.visual-communication.graphic-design,Graphic design,,Visual communication|0,4,S,https://en.wikipedia.org/wiki/Graphic_design
humanities.visual-arts.architecture-and-design.visual-communication.graphic-design.type-design,Type design,,key:humanities.visual-arts.architecture-and-design.visual-communication.graphic-design|0,5,S,https://en.wikipedia.org/wiki/Type_design
humanities.visual-arts.architecture-and-design.industrial-design-product-design,Industrial design (product design),,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Industrial_design
humanities.visual-arts.architecture-and-design.user-experience-design,User experience design,,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/User_experience_design
humanities.visual-arts.architecture-and-design.user-experience-design.interaction-design,Interaction design,,User experience design|0,4,S,https://en.wikipedia.org/wiki/Interaction_design
humanities.visual-arts.architecture-and-design.user-experience-design.user-interface-design,User interface design,,User experience design|0,4,S,https://en.wikipedia.org/wiki/User_interface_design
humanities.visual-arts.architecture-and-design.user-experience-design.user-experience-evaluation,User experience evaluation,,User experience design|0,4,S,https://en.wikipedia.org/wiki/User_experience_evaluation
humanities.visual-arts.architecture-and-design.fashion-design,Fashion design,,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Fashion_design
humanities.visual-arts.architecture-and-design.textile-design,Textile design,,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Textile_design
humanities.visual-arts.architecture-and-design.food-design,Food design,,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Food_design
humanities.history,History,,,1,S0,https://en.wikipedia.org/wiki/Outline_of_history
humanities.history.prehistory,Prehistory,,History|0,2,S,https://en.wikipedia.org/wiki/Prehistory
humanities.history.ancient-history,Ancient history,,History|0,2,S,https://en.wikipedia.org/wiki/Ancient_history
humanities.history.ancient-history.ancient-egypt,Ancient Egypt,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Egypt
humanities.history.ancient-history.carthage,Carthage,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Carthage
humanities.history.ancient-history.ancient-greek-history,Ancient Greek history,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Greece
humanities.history.ancient-history.ancient-roman-history,Ancient Roman history,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Rome
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-republic,History of the Roman Republic,,Ancient Roman history|0,4,S,https://en.wikipedia.org/wiki/History_of_the_Constitution_of_the_Roman_Republic
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-empire,History of the Roman Empire,,Ancient Roman history|0,4,S,https://en.wikipedia.org/wiki/History_of_the_Roman_Empire
humanities.history.ancient-history.ancient-chinese-history,Ancient Chinese history,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_China
humanities.history.ancient-history.ancient-middle-eastern-history,Ancient Middle Eastern history,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Near_East
humanities.history.ancient-history.assyrian-civilization,Assyrian Civilization,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Assyria
humanities.history.ancient-history.bronze-age-civilizations,Bronze Age Civilizations,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Bronze_Age
humanities.history.ancient-history.biblical-history,Biblical history,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Historicity_of_the_Bible
humanities.history.ancient-history.history-of-the-indus-valley-civilization,History of the Indus Valley Civilization,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation
humanities.history.ancient-history.preclassic-maya,Preclassic Maya,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Preclassic_Maya
humanities.history.ancient-history.history-of-mesopotamia,History of Mesopotamia,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/History_of_Mesopotamia
humanities.history.ancient-history.the-stone-age,The Stone Age,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/The_Stone_Age
humanities.history.ancient-history.history-of-the-yangtze-civilization,History of the Yangtze civilization,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Yangtze_civilization
humanities.history.ancient-history.history-of-the-yellow-river-civilization,History of the Yellow River civilization,,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Yellow_River_civilization
humanities.history.modern-history,Modern history,,History|0,2,S,https://en.wikipedia.org/wiki/Modern_history
humanities.history.asian-history,Asian history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Asia
humanities.history.asian-history.chinese-history,Chinese history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_China
humanities.history.asian-history.japanese-history,Japanese history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Japan
humanities.history.asian-history.korean-history,Korean history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Korea
humanities.history.asian-history.mongolian-history,Mongolian history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Mongolia
humanities.history.asian-history.indian-history,Indian history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_India
humanities.history.asian-history.indonesian-history,Indonesian history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Indonesia
humanities.history.asian-history.turkish-history,Turkish history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Turkey
humanities.history.asian-history.iranian-history,Iranian history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Iran
humanities.history.asian-history.vietnamese-history,Vietnamese history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Vietnam
humanities.history.asian-history.philippine-history,Philippine history,,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_Philippines
humanities.history.australian-history,Australian history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Australia
humanities.history.european-history,European history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Europe
humanities.history.european-history.british-history,British history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_United_Kingdom
humanities.history.european-history.french-history,French history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_France
humanities.history.european-history.german-history,German history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Germany
humanities.history.european-history.dutch-history,Dutch history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_Netherlands
humanities.history.european-history.italian-history,Italian history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Italy
humanities.history.european-history.spanish-history,Spanish history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Spain
humanities.history.european-history.portuguese-history,Portuguese history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Portugal
humanities.history.european-history.polish-history,Polish history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Poland
humanities.history.european-history.balkan-history,Balkan history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_Balkans
humanities.history.european-history.scandinavian-history,Scandinavian history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Scandinavia
humanities.history.european-history.scandinavian-history.swedish-history,Swedish history,,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Sweden
humanities.history.european-history.scandinavian-history.norwegian-history,Norwegian history,,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Norway
humanities.history.european-history.scandinavian-history.danish-history,Danish history,,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Denmark
humanities.history.european-history.scandinavian-history.finnish-history,Finnish history,,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Finland
humanities.history.european-history.scandinavian-history.icelandic-history,Icelandic history,,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Iceland
humanities.history.european-history.russian-history,Russian history,,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Russia
humanities.history.african-history,African history,,History|0,2,S,https://en.wikipedia.org/wiki/African_history
humanities.history.african-history.south-african-history,South African history,,African history|0,3,S,https://en.wikipedia.org/wiki/History_of_South_Africa
humanities.history.african-history.egyptian-history,Egyptian history,,African history|0,3,S,https://en.wikipedia.org/wiki/History_of_Egypt
humanities.history.african-history.east-and-central-african-history,East and Central African history,,African history|0,3,S,
humanities.history.african-history.nigerian-history,Nigerian history,,African history|0,3,S,https://en.wikipedia.org/wiki/History_of_Nigeria
humanities.history.pre-columbian-era-history,Pre-Columbian era history,,History|0,2,S,https://en.wikipedia.org/wiki/Pre-Columbian_era
humanities.history.pan-american-history,Pan-American history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_the_Americas
humanities.history.pan-american-history.north-american-history,North American history,,Pan-American history|0,3,S,https://en.wikipedia.org/wiki/History_of_North_America
humanities.history.pan-american-history.north-american-history.american-history,American history,,North American history|0,4,S,https://en.wikipedia.org/wiki/History_of_the_United_States
humanities.history.pan-american-history.north-american-history.canadian-history,Canadian history,,North American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Canada
humanities.history.pan-american-history.north-american-history.mexican-history,Mexican history,,North American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Mexico
humanities.history.pan-american-history.north-american-history.cuban-history,Cuban history,,North American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Cuba
humanities.history.pan-american-history.south-american-history,South American history,,Pan-American history|0,3,S,https://en.wikipedia.org/wiki/History_of_South_America
humanities.history.pan-american-history.south-american-history.brazilian-history,Brazilian history,,South American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Brazil
humanities.history.pan-american-history.south-american-history.colombian-history,Colombian history,,South American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Colombia
humanities.history.pan-american-history.south-american-history.venezuelan-history,Venezuelan history,,South American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Venezuela
humanities.history.pan-american-history.south-american-history.peruvian-history,Peruvian history,,South American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Peru
humanities.history.pan-american-history.south-american-history.argentine-history,Argentine history,,South American history|0,4,S,https://en.wikipedia.org/wiki/History_of_Argentina
humanities.history.pan-american-history.pre-columbian-era,Pre-Columbian era,,Pan-American history|0,3,S,https://en.wikipedia.org/wiki/Pre-Columbian_era
humanities.history.pan-american-history.pre-columbian-era.mayan-history,Mayan history,,Pre-Columbian era|0,4,S,https://en.wikipedia.org/wiki/History_of_the_Maya_civilization
humanities.history.pan-american-history.pre-columbian-era.aztec-history,Aztec history,,Pre-Columbian era|0,4,S,https://en.wikipedia.org/wiki/History_of_the_Aztecs
humanities.history.pan-american-history.pre-columbian-era.inca-history,Inca history,,Pre-Columbian era|0,4,S,https://en.wikipedia.org/wiki/History_of_the_Incas
humanities.history.pan-american-history.pre-columbian-era.mississippian-culture-art-history,Mississippian culture* Art History,,Pre-Columbian era|0,4,S,https://en.wikipedia.org/wiki/Mississippian_culture
humanities.history.latin-american-history,Latin American history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Latin_America
humanities.history.jewish-history,Jewish history,,History|0,2,S,https://en.wikipedia.org/wiki/Jewish_history
humanities.history.cultural-history,Cultural history,,History|0,2,S,https://en.wikipedia.org/wiki/Cultural_history
humanities.history.ecclesiastical-history-of-the-catholic-church,Ecclesiastical history of the Catholic Church,,History|0,2,S,https://en.wikipedia.org/wiki/Ecclesiastical_history_of_the_Catholic_Church
humanities.history.economic-history,Economic history (of the world),,History|0,2,S,https://en.wikipedia.org/wiki/Economic_history_of_the_world
humanities.history.environmental-history,Environmental history,,History|0,2,S,https://en.wikipedia.org/wiki/Environmental_history
humanities.history.intellectual-history,Intellectual history,,History|0,2,S,https://en.wikipedia.org/wiki/Intellectual_history
humanities.history.philosophical-history,Philosophical history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_philosophy
humanities.history.philosophical-history.ancient-philosophy,Ancient philosophy,,Philosophical history|0,3,S,https://en.wikipedia.org/wiki/Ancient_philosophy
humanities.history.philosophical-history.contemporary-philosophy,Contemporary philosophy,,Philosophical history|0,3,S,https://en.wikipedia.org/wiki/Contemporary_philosophy
humanities.history.philosophical-history.medieval-philosophy,Medieval philosophy,,Philosophical history|0,3,S,https://en.wikipedia.org/wiki/Medieval_philosophy
humanities.history.philosophical-history.medieval-philosophy.humanism,Humanism,,key:humanities.history.philosophical-history.medieval-philosophy|0,4,S,https://en.wikipedia.org/wiki/Humanism
humanities.history.philosophical-history.medieval-philosophy.scholasticism,Scholasticism,,key:humanities.history.philosophical-history.medieval-philosophy|0,4,S,https://en.wikipedia.org/wiki/Scholasticism
humanities.history.philosophical-history.modern-philosophy,Modern philosophy,,Philosophical history|0,3,S,https://en.wikipedia.org/wiki/Modern_philosophy
humanities.history.political-history,Political history,,History|0,2,S,https://en.wikipedia.org/wiki/Political_history
humanities.history.political-history.history-of-political-thought,History of political thought,,key:humanities.history.political-history|0,3,S,https://en.wikipedia.org/wiki/History_of_political_thought
humanities.history.public-history,Public history,,History|0,2,S,https://en.wikipedia.org/wiki/Public_history
humanities.history.scientific-history,Scientific history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_science
humanities.history.technological-history,Technological history,,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Technology
humanities.history.world-history,World history,,History|0,2,S,https://en.wikipedia.org/wiki/World_history_(field)
humanities.history.futurology,Futurology,,History|0,2,S,https://en.wikipedia.org/wiki/Futurology
humanities.history.futurology.cashless-society,Cashless society,,Futurology|0,3,S,https://en.wikipedia.org/wiki/Cashless_society
humanities.history.futurology.climate,Climate,,Futurology|0,3,S,https://en.wikipedia.org/wiki/Climate
