key,name,description,attached to,layer,type,url
social-science.political-science.military-sciences.military-weapons.psychological,Psychological,,Military weapons|0,6,S,https://en.wikipedia.org/wiki/Psychological_warfare
social-science.political-science.military-sciences.military-weapons.unconventional,Unconventional,,Military weapons|0,6,S,https://en.wikipedia.org/wiki/Unconventional_warfare
social-science.political-science.military-sciences.other-military,Other Military,,Military sciences|0,5,S,
social-science.political-science.military-sciences.other-military.arms-control,Arms control,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Arms_control
social-science.political-science.military-sciences.other-military.arms-race,Arms race,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Arms_race
social-science.political-science.military-sciences.other-military.assassination,Assassination,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Assassination
social-science.political-science.military-sciences.other-military.asymmetric-warfare,Asymmetric warfare,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Asymmetric_warfare
social-science.political-science.military-sciences.other-military.civil-defense,Civil defense,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Civil_defense
social-science.political-science.military-sciences.other-military.clandestine-operation,Clandestine operation,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Clandestine_operation
social-science.political-science.military-sciences.other-military.collateral-damage,Collateral damage,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Collateral_damage
social-science.political-science.military-sciences.other-military.cold-war-general-term,Cold war (general term),,Other Military|0,6,S,https://en.wikipedia.org/wiki/Cold_war_(general_term)
social-science.political-science.military-sciences.other-military.combat,Combat,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Combat
social-science.political-science.military-sciences.other-military.covert-operation,Covert operation,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Covert_operation
social-science.political-science.military-sciences.other-military.cyberwarfare,Cyberwarfare,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Cyberwarfare
social-science.political-science.military-sciences.other-military.defense-industry,Defense industry,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Defense_industry
social-science.political-science.military-sciences.other-military.disarmament,Disarmament,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Disarmament
social-science.political-science.military-sciences.other-military.intelligence-agency,Intelligence agency,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Intelligence_agency
social-science.political-science.military-sciences.other-military.laws-of-war,Laws of war,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Laws_of_war
social-science.political-science.military-sciences.other-military.mercenary,Mercenary,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Mercenary
social-science.political-science.military-sciences.other-military.military-campaign,Military campaign,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Military_campaign
social-science.political-science.military-sciences.other-military.mock-combat,Mock combat,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Mock_combat
social-science.political-science.military-sciences.other-military.network-centric-warfare,Network-centric warfare,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Network-centric_warfare
