topicID,urlNr,url
AEB1,1,https://en.wikipedia.org/wiki/Aerobiology
AEL1,1,https://en.wikipedia.org/wiki/Aerolithology
AEE1,1,https://en.wikipedia.org/wiki/Aerospace_engineering
AGB1,1,https://en.wikipedia.org/wiki/Agrobiology
AGG1,1,https://en.wikipedia.org/wiki/Agrogeology
AGN2,1,https://en.wikipedia.org/wiki/Agronomy
AGS1,1,https://en.wikipedia.org/wiki/Agrostology
ANA1,1,https://en.wikipedia.org/wiki/Anatomy
AND1,1,https://en.wikipedia.org/wiki/Andrology
ANG1,1,https://en.wikipedia.org/wiki/Angiology
ARA1,1,https://en.wikipedia.org/wiki/Arachnology
ARA2,1,https://en.wikipedia.org/wiki/Archaeology
ARI1,1,https://en.wikipedia.org/wiki/Architecture
ARS1,1,https://en.wikipedia.org/wiki/Archival_science
ARI2,1,https://en.wikipedia.org/wiki/Aristology
ART2,1,https://en.wikipedia.org/wiki/Arthrology
ART3,1,https://en.wikipedia.org/wiki/Arthropodology
AST1,1,https://en.wikipedia.org/wiki/Astacology
AST2,1,https://en.wikipedia.org/wiki/Asteroseismology
ASB1,1,https://en.wikipedia.org/wiki/Astrobiology
ASD1,1,https://en.wikipedia.org/wiki/Astrodynamics
ASG1,1,https://en.wikipedia.org/wiki/Astrogeology
ASP1,1,https://en.wikipedia.org/wiki/Astrophysics
AUD1,1,https://en.wikipedia.org/wiki/Audiology
AUX1,1,https://en.wikipedia.org/wiki/Auxology
BAC1,1,https://en.wikipedia.org/wiki/Bacteriology
BAT1,1,https://en.wikipedia.org/wiki/Batology
BEG1,1,https://en.wikipedia.org/wiki/Behavioural_genetics
BIB1,1,https://en.wikipedia.org/wiki/Bibliography
BOG1,1,https://en.wikipedia.org/wiki/Biogeochemistry
BOM1,1,https://en.wikipedia.org/wiki/Biometrics
BRO1,1,https://en.wikipedia.org/wiki/Bromatology
CAC1,1,https://en.wikipedia.org/wiki/Cacogenics
CRC1,1,https://en.wikipedia.org/wiki/Carcinology
CRI1,1,https://en.wikipedia.org/wiki/Caricology
CRP1,1,https://en.wikipedia.org/wiki/Carpology
CRT1,1,https://en.wikipedia.org/wiki/Cartography
CEM1,1,https://en.wikipedia.org/wiki/Celestial_mechanics
CEB1,1,https://en.wikipedia.org/wiki/Cell_biology
CHA2,1,https://en.wikipedia.org/wiki/Characterology
CHI1,1,https://en.wikipedia.org/wiki/Chirography
CHR1,1,https://en.wikipedia.org/wiki/Colorimetry
CIE1,1,https://en.wikipedia.org/wiki/Civil_engineering
CLI2,1,https://en.wikipedia.org/wiki/Climatology
COD1,1,https://en.wikipedia.org/wiki/Codicology
COS2,1,https://en.wikipedia.org/wiki/Communication_studies
CON1,1,https://en.wikipedia.org/wiki/Coniology
COP1,1,https://en.wikipedia.org/wiki/Coprology
CSC1,1,https://en.wikipedia.org/wiki/Cosmochemistry
